		GSM17378	GSM17379	GSM17380	GSM17381	GSM17382	GSM17383	GSM17384	GSM17385	GSM17386	GSM17387	GSM17388	GSM17389	GSM17390	GSM17391	GSM17392	GSM45690	GSM45691	GSM45692	GSM45693	GSM45706	GSM45707	GSM45708	GSM45709	GSM146345	GSM146346	GSM146347	GSM146348	GSM146349	GSM146350	GSM146351	GSM146352	GSM146353	GSM146354
Sp1	trans-acting transcription factor 1	124.2	316.0	280.5	247.5	217.8	280.5	219.8	75.5	219.2	114.6	347.8	106.9	9.4	339.0	97.9	218.7	202.4	236.8	255.6	168.3	185.3	226.7	168.1	143.589293695	155.10135965	165.66351117	176.914528115	142.234992095	157.31314587	182.65709475	181.17213738	168.635426489	123.282230485
Syt2	synaptotagmin II	36.75	105.55	95.55	133.05	65.35	94.6	54.2	120.75	83.75	93.2	131.3	116.0	113.35	146.2	68.95	90.05	103.85	47.0	117.75	76.85	83.1	108.7	104.45	58.9279546867	43.86930109	52.5327488067	69.7027141433	54.9314497567	109.08647126	159.904692067	80.14702773	136.827891143	103.176727807
Pglyrp1	peptidoglycan recognition protein 1	18.85	16.9	12.4	10.9	16.55	12.6	17.2	19.2	162.8	11.95	13.1	7.9	44.95	21.3	9.8	11.5	18.4	28.0	22.55	14.7	23.0	12.95	22.7	9.252885545	8.014215583	8.970321522	10.4533006	19.2001926	9.046093005	20.55019309	12.66089399	21.41642991	8.847961467
Gpx5	glutathione peroxidase 5	62.35	69.7	70.15	112.5	83.55	73.65	60.25	97.4	96.25	58.8	116.9	111.6	87.9	72.15	78.7	78.85	92.2	34.55	113.5	61.75	78.1	108.95	88.15	79.05835632	77.32811783	131.4055545	36.44262714	94.73200995	100.5605728	105.735742	93.84337837	26.33571491	81.23755565
Alg3	asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase)	540.1	558.0	580.2	676.4	677.95	719.95	600.7	591.55	506.5	493.65	611.0	769.75	549.6	761.1	623.85	521.35	699.95	613.3	669.0	648.95	578.85	580.75	637.6	691.6678246	598.304622	533.3995678	556.2782586	640.6726116	537.3458392	476.970066	475.8612095	508.0650171	648.3660292
Phex	phosphate regulating gene with homologies to endopeptidases on the X chromosome (hypophosphatemia, vitamin D resistant rickets)	13.6	15.2	32.9	44.9	4.3	26.5	32.3	37.2	19.6	35.1	5.6	41.4	10.5	24.9	50.2	25.6	45.6	21.1	9.4	50.4	14.3	5.4	42.3	11.9322461335	27.25400186	12.337626527	23.110005394	17.8137092	98.06121926	16.1256934345	11.663128634	56.135925005	16.808534902
Snx2	sorting nexin 2	494.0	536.0	536.0	463.333333333	576.4	630.866666667	536.0	695.0	646.866666667	757.033333333	524.1	663.566666667	791.666666667	559.533333333	691.633333333	618.2	580.466666667	522.966666667	474.5	614.8	597.1	531.466666667	669.4	488.4218444	670.958267	585.9885929	620.81913	454.1513268	589.1908408	731.3194484	490.4168769	534.8423811	404.0120656
Cirbp	cold inducible RNA binding protein	698.4	495.0	583.0	425.1	520.2	630.3	479.5	592.5	565.7	598.6	566.8	752.0	532.0	557.7	770.4	529.5	680.5	878.7	577.3	516.9	687.8	403.6	569.0	483.9446498	457.559609	372.0030387	560.6835593	194.0134155	1266.024104	884.229898	573.1736411	340.753409	385.3062712
Mc3r	melanocortin 3 receptor	43.2	162.3	119.7	64.2	79.0	148.2	137.2	50.0	95.7	203.8	206.9	165.3	158.0	55.5	132.8	52.3	70.2	44.0	63.0	86.8	108.5	221.2	162.0	154.1257942	74.13316166	101.6943389	189.6679964	54.66927627	53.02830701	290.3633974	155.800109	280.6493011	174.7639157
Tiam1	T-cell lymphoma invasion and metastasis 1	60.3	89.75	123.15	169.5	127.7	116.5	97.3	85.8	101.1	191.3	155.35	133.65	66.6	185.3	135.15	88.35	98.85	106.25	167.8	65.75	196.05	102.5	136.9	170.431138745	233.56688605	247.374597655	46.66302495	112.70802908	71.896699935	73.716918115	61.19107966	121.76683195	121.09645552
Uqcrh	ubiquinol-cytochrome c reductase hinge protein	4030.4	3691.2	3557.7	3537.7	3787.9	3677.4	3516.5	4223.3	4283.3	4528.3	4225.6	5462.3	6327.1	4256.4	4046.5	4251.6	3646.2	4047.4	3909.5	4809.0	5103.3	4651.8	5477.0	3241.120281	3650.559632	3462.077836	3302.569217	3446.044965	6815.992466	4763.79214	5190.224092	5063.548324	4655.373628
Fgf8	fibroblast growth factor 8	3.9	4.9	6.3	6.3	3.7	5.1	4.0	6.3	4.7	5.4	10.0	11.2	5.2	5.1	5.4	4.2	6.1	7.0	6.6	3.8	7.8	8.1	7.5	10.26798732	3.183377208	4.243765905	10.78943089	10.69335943	4.020823675	11.790059	45.61722368	4.194747127	15.32885809
Rmi1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	76.3	69.7	54.5	54.7	84.9	55.2	74.2	80.4	54.0	74.4	51.7	72.5	99.5	50.2	68.4	77.6	70.0	83.1	81.7	43.1	96.1	72.9	88.0	98.61716784	67.939749395	60.04652244	101.24398475	72.846490015	61.703082325	69.5618146	97.285539655	64.662510135	70.87435313
Col10a1	procollagen, type X, alpha 1	35.7	52.0	107.1	77.1	72.6	77.7	35.9	60.7	33.5	79.7	62.9	44.7	35.6	94.5	57.2	67.2	89.0	28.2	100.8	92.3	131.8	38.1	85.4	35.76512457	83.01500207	86.37940813	42.21920422	115.1758996	26.56656784	19.91649206	150.9806268	21.00177111	38.67147299
Serpina5	serine (or cysteine) peptidase inhibitor, clade A, member 5	16.0	18.25	48.65	23.9	37.35	44.05	49.1	40.0	18.75	15.15	38.7	48.55	22.25	40.75	13.5	19.7	30.0	12.7	62.65	52.85	60.0	43.2	22.75	9.021299543	10.72313871	11.46771278	8.227318785	12.17957775	9.150606628	7.924726171	15.58864246	64.07581662	132.2182061
Cebpd	CCAAT/enhancer binding protein (C/EBP), delta	322.4	321.0	606.7	343.1	297.3	430.4	404.0	494.2	418.4	336.7	341.8	833.9	433.5	354.1	267.1	366.1	302.0	319.5	272.0	319.2	289.6	429.2	406.8	301.1636412	381.49027325	314.0164984	942.55210175	1647.51796865	339.6198099	244.0500133	479.66194285	395.9578625	595.50766305
Arg2	arginase type II	10.05	60.1	46.65	51.55	36.95	38.7	27.05	47.15	106.65	13.05	68.8	14.15	23.05	26.4	45.95	19.05	81.15	34.5	49.65	19.95	29.95	14.1	24.25	27.68272374	34.028914347	25.2836811825	63.32850127	41.5267868005	41.43971106	24.1289782815	31.004212532	46.503900905	34.44896697
Ascl1	achaete-scute complex homolog-like 1 (Drosophila)	30.0	80.3	59.7	109.2	46.8	120.9	69.8	34.5	100.8	31.9	51.6	38.5	28.0	67.3	65.4	26.0	97.7	120.7	18.2	40.9	38.3	28.1	37.6	16.96104833	6.543881193	16.17240535	77.7242086	89.44784846	46.53968673	41.31407794	60.85699978	33.47587358	102.5073404
5730453I16Rik	RIKEN cDNA 5730453I16 gene	585.3	692.4	692.0	725.9	832.5	791.7	580.1	712.2	913.2	743.9	628.8	653.6	635.8	608.0	724.8	761.4	784.2	563.9	617.3	813.0	605.8	972.3	530.0	657.4090588	668.8765443	610.7045457	669.9208696	820.4443536	713.2976029	600.6771992	674.542099	515.1874372	580.5813594
Art2a	ADP-ribosyltransferase 2a	1.0	11.4	7.0	2.7	3.6	17.8	31.4	3.3	3.8	1.3	5.1	5.5	4.2	22.9	2.3	4.1	5.3	2.1	2.7	4.1	1.2	1.8	4.4	11.77986356	9.059948887	11.3849415	12.47678298	10.01525524	9.869861313	10.44100754	9.807866488	12.42186023	67.39089075
Tcfap2c	transcription factor AP-2, gamma	46.5	39.3	54.2	58.7	53.1	53.0	35.6	51.0	41.0	48.9	129.1	40.1	29.6	41.7	39.5	41.7	45.2	42.6	131.5	50.2	45.8	82.8	48.5	55.5192919263	51.8718298933	53.2999750767	52.7677946933	50.55211259	48.2076156433	49.8881657033	53.9958415667	73.7671554113	84.4340918633
Tcfap2b	transcription factor AP-2 beta	40.2	28.7	55.6	59.6	22.7	13.8	7.6	13.0	32.4	13.1	56.0	18.3	13.0	52.1	14.2	48.8	53.0	42.8	18.0	23.5	72.6	17.1	43.4	52.37678232	74.82336518	64.1060193	73.49404038	13.38813126	31.03436893	101.0361438	17.57736636	10.15002691	15.16181153
Tyro3	TYRO3 protein tyrosine kinase 3	35.1	74.9	66.75	24.9	38.3	31.95	33.6	27.75	26.05	26.55	59.55	82.95	51.0	65.8	27.1	47.95	53.25	33.4	34.6	69.25	56.05	67.4	37.15	43.41359961	34.074804465	40.095182895	32.857682285	43.397768815	42.08621591	26.448060225	79.12745497	73.16641806	68.47104578
Pck2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	76.15	22.0	67.8	70.95	18.1	65.75	19.25	114.95	65.2	49.8	72.5	78.6	56.9	24.15	55.7	88.95	23.4	32.2	36.1	97.95	79.35	65.25	129.6	40.92819426	50.22442792	47.9496719	24.736891285	43.81381699	54.07198462	36.401942535	69.23800577	51.892753625	84.75564857
Prlpk	prolactin-like protein K	6.8	12.2	16.5	24.4	12.9	14.3	3.9	5.1	6.5	5.8	10.4	7.7	8.3	15.9	3.2	9.8	5.5	7.9	8.1	15.6	10.8	2.9	9.8	29.18783804	8.829608074	8.9533940785	12.824448115	8.082577574	11.746601747	18.89232515	32.216811602	6.721907011	11.5730815855
Rbm8a	RNA binding motif protein 8a	404.2	412.6	498.4	536.3	372.1	529.1	466.7	514.4	450.2	451.7	611.5	631.3	577.3	531.1	486.9	551.9	457.9	435.1	528.2	484.4	519.6	567.6	512.2	518.4283328	407.26375045	422.227398985	436.65263295	453.5004061	682.55818265	615.66453875	557.26028105	602.1467274	565.368522965
2410015N17Rik	RIKEN cDNA 2410015N17 gene	1009.3	851.0	834.3	914.2	890.4	1016.75	812.3	987.25	936.1	944.05	1012.15	1756.4	766.6	1103.05	998.5	790.0	919.75	897.55	810.55	1171.4	1098.25	1088.85	1179.05	895.5686875	860.5898205	901.0782497	799.0051382	988.0386948	1156.974805	969.5356874	937.6506916	944.6403466	933.6672566
Slc22a4	solute carrier family 22 (organic cation transporter), member 4	16.3	7.5	5.6	18.3	13.8	6.7	6.1	13.4	8.0	13.4	26.3	9.5	47.5	10.4	13.1	11.1	9.5	15.8	13.0	12.9	16.9	7.9	16.9	32.35337187	11.96698599	13.76711804	16.94688762	15.29661022	16.91186085	10.49669054	13.16379388	11.03242112	23.66557808
Pes1	pescadillo homolog 1, containing BRCT domain (zebrafish)	169.9	132.8	127.2	149.0	110.4	171.5	153.3	147.6	163.2	173.4	123.3	213.2	110.6	176.4	196.9	119.6	138.1	176.6	191.9	163.3	218.0	177.9	188.0	150.844205355	145.630231915	160.039546725	138.886687175	151.10604992	206.231577845	157.85755569	195.558421615	231.35012414	205.706190175
Ifnar1	interferon (alpha and beta) receptor 1	262.8	165.9	230.6	251.2	250.6	270.0	208.4	262.8	241.7	247.7	295.7	265.7	206.7	235.1	258.1	346.5	302.7	328.0	151.0	255.3	363.3	319.6	127.7	281.9671539	225.3066152	250.620338	278.6658975	241.1568762	225.9604794	260.938251	277.0295175	282.1590223	221.3632713
Slc22a2	solute carrier family 22 (organic cation transporter), member 2	162.4	189.7	210.6	152.6	189.3	109.0	149.7	150.3	150.6	145.7	135.6	106.1	213.1	161.7	136.3	218.5	201.5	232.0	77.1	175.8	187.2	185.0	149.5	199.6846781	177.3270122	141.3695353	37.14291036	76.30622659	142.7905646	136.9795617	189.6399553	154.4003848	225.8126868
Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	1333.35	1292.7	1130.8	1252.85	1538.4	1334.4	1214.05	1384.1	1352.75	1232.6	1313.8	1313.05	662.7	1136.3	1252.85	1184.25	1206.25	1095.55	1228.15	1359.0	1307.0	1256.05	1238.6	1498.468044	1062.279757	1401.629123	1460.073786	1253.319365	1105.674569	1202.061966	1095.41949	1154.293036	1067.419545
Colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	133.3	66.8	69.0	121.7	58.8	50.6	130.7	62.8	61.5	67.4	57.4	321.1	134.4	37.5	66.6	169.5	68.4	66.3	71.2	83.2	86.5	138.4	61.2	181.1377836	70.10659388	124.1098286	32.85140261	186.9463087	105.3456115	95.87944476	187.4057515	131.6810877	180.6717558
Igj	immunoglobulin joining chain	107.8	169.4	116.5	117.3	96.8	90.6	135.9	74.2	204.9	90.2	101.5	70.5	135.8	135.2	128.4	114.3	134.1	370.0	152.7	181.6	137.2	116.8	57.8	213.4592013	670.1448288	170.38655	175.6225951	1066.630055	95.12474749	154.7506558	95.20571044	118.9624982	85.30377656
Dnajb3	DnaJ (Hsp40) homolog, subfamily B, member 3	66.35	61.1	68.15	87.15	140.7	85.65	75.15	52.95	109.15	91.4	73.75	63.35	47.2	96.35	64.8	69.7	84.65	48.95	71.5	110.9	84.5	78.4	44.6	81.51455355	55.50265199	46.38087918	162.7740849	31.35174652	110.1878611	61.31201558	63.51564055	47.74428569	66.10995827
Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	62.8	66.1	69.4	67.6	85.8	108.5	59.6	55.5	55.3	135.2	69.3	64.6	83.6	126.0	74.1	63.6	79.3	58.6	68.2	154.7	52.6	35.2	72.9	76.184226985	58.32617959	59.81902431	85.587329025	104.068839235	72.6167906155	138.370610189	92.516847505	85.13378893	95.568753135
Zfy2	zinc finger protein 2, Y linked	6.9	7.5	32.8	41.5	8.7	10.0	16.5	7.9	7.8	15.6	1.7	22.7	1.9	41.7	3.7	5.7	27.4	30.1	14.3	11.1	18.6	49.2	11.9	7.690318287	18.96127588	10.09342418	14.73931953	40.89377763	2.679708669	67.54099579	5.825860555	29.60927699	17.85396952
Jarid1a	jumonji, AT rich interactive domain 1A (Rbp2 like)	9.5	21.1	5.8	10.4	10.7	40.4	29.1	35.8	17.7	30.3	19.9	12.0	5.8	14.6	21.5	14.7	6.6	37.0	7.7	37.3	13.1	14.0	23.2	8.071340643	5.909598854	15.15540845	5.212790013	6.045512582	14.90010568	41.0321309	6.000246817	13.8255693	17.92110252
Adcy3	adenylate cyclase 3	207.1	346.0	91.4	198.6	212.9	237.8	166.2	323.1	271.0	289.2	245.6	264.0	145.3	187.0	202.1	224.6	164.0	396.6	221.1	239.0	210.4	334.3	255.2	285.895255365	152.82310205	170.571415795	282.15948852	230.595242282	228.141010448	206.449051867	204.344434213	194.536010097	227.867259738
Cep250	centrosomal protein 250	39.0	49.2	45.6	149.7	67.3	47.9	43.3	41.0	44.2	42.0	146.7	50.1	46.6	51.4	41.3	52.7	51.1	119.6	45.4	61.3	63.3	33.9	48.2	93.54622641	76.78361158	78.26129095	69.45194124	25.16287494	71.02233306	60.6674482	61.23771678	59.24889039	21.15899014
Lag3	lymphocyte-activation gene 3	165.5	65.1	149.4	107.6	117.6	61.3	178.2	102.5	133.5	44.4	34.5	114.2	88.2	89.2	61.7	142.2	137.3	174.9	121.9	44.8	33.4	133.0	145.7	40.27296914	60.7695356	32.47932354	146.2985491	47.72342678	100.1036905	71.6632276	39.80522114	93.58038989	121.7261943
Klk1	kallikrein 1///kallikrein 1-related petidase b26///kallikrein 1-related peptidase b5	30.3333333333	22.7666666667	26.1333333333	25.6666666667	31.3	18.7333333333	13.2333333333	18.7333333333	81.3	28.8333333333	25.0	30.5666666667	23.8666666667	40.7	37.4	12.7333333333	19.7666666667	40.7666666667	33.1666666667	39.0666666667	42.0666666667	25.7333333333	27.5333333333	22.2290263133	14.9263363667	23.09197086	29.8269121067	19.93477396	68.2294176533	36.9326319567	29.4175322517	57.1391078067	18.3862150033
Col13a1	procollagen, type XIII, alpha 1	81.3	116.0	115.65	135.65	75.05	105.6	92.5	96.6	118.8	108.4	116.95	125.25	129.25	129.15	127.45	110.5	100.7	101.85	74.8	115.8	107.55	137.15	177.15	163.4290691	118.3523161	104.0869919	124.4991339	133.6867251	64.04293435	85.96656611	101.0408056	89.4304419	101.322058
Pcyt1a	phosphate cytidylyltransferase 1, choline, alpha isoform	550.7	651.35	606.75	574.65	661.8	621.55	690.2	638.15	650.15	681.2	520.15	557.25	562.4	619.15	629.9	625.05	614.15	689.05	726.55	541.9	557.1	628.65	515.7	470.390064745	548.025224877	561.046229538	518.604949573	519.131800998	527.98491143	825.478002825	845.3142088	755.8966623	708.30726365
Slc7a9	solute carrier family 7 (cationic amino acid transporter, y+ system), member 9	100.4	179.2	80.9	40.6	114.6	158.0	21.3	122.7	220.2	129.9	159.5	40.6	211.1	199.5	89.5	123.8	205.8	145.3	27.9	174.5	162.1	46.8	96.7	203.159836	125.9503684	120.6446664	166.6895725	133.1576817	116.8993205	93.53723318	143.3459762	204.9823566	188.6274726
Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)	175.5	170.9	141.7	246.9	165.5	66.8	133.5	84.2	74.1	199.5	107.9	28.9	104.6	229.6	173.6	134.7	177.5	187.7	186.4	164.1	172.6	135.6	168.0	179.23462172	106.27170904	144.55549726	120.459792925	130.437170117	157.009638765	164.0138334	128.48041017	152.29175139	243.61423365
Zfp787	zinc finger protein 787	147.266666667	237.166666667	327.333333333	235.8	252.466666667	202.466666667	201.766666667	134.266666667	232.433333333	215.3	253.333333333	256.633333333	118.533333333	221.2	247.6	141.7	184.566666667	243.033333333	212.233333333	214.666666667	223.666666667	255.5	266.7	184.235780733	134.410442867	131.838501267	308.9414181	185.529549267	195.6341966	230.908928767	278.12832088	242.122917667	248.355038967
Alox15	arachidonate 15-lipoxygenase	23.6	107.8	31.4	24.5	21.2	74.3	15.5	17.2	18.2	26.1	52.4	16.7	20.1	18.5	63.4	10.9	26.7	16.9	16.0	14.1	20.0	10.9	15.7	31.11058355	47.79013529	11.34104286	31.0722591	37.74573453	30.60093286	32.34869317	46.66939247	38.75805373	179.9835896
Inhbe	inhibin beta E	106.2	158.6	216.6	88.5	220.9	188.9	231.4	266.2	349.5	193.3	273.9	48.2	210.3	154.6	262.8	353.0	264.6	268.9	263.9	114.2	94.4	267.5	104.3	157.7275389	159.2036295	143.534883	162.3646306	253.2436941	136.9443057	206.3514877	220.4408342	192.1542533	218.2712427
Asprv1	aspartic peptidase, retroviral-like 1	158.9	244.3	68.6	94.9	221.6	247.7	203.5	257.3	259.1	205.9	186.5	283.8	418.6	119.5	240.3	172.9	280.8	668.8	152.2	301.3	220.0	138.4	226.4	259.7402576	844.3466941	601.8189944	261.4306432	193.9764926	163.357871	100.1809711	190.0865071	217.8320605	314.6822162
1810007M14Rik	RIKEN cDNA 1810007M14 gene	240.8	210.2	204.5	229.7	213.1	235.1	241.7	252.6	257.2	236.5	295.5	322.0	407.9	226.7	280.5	200.1	201.4	181.5	214.2	230.2	220.6	303.1	306.0	228.713559283	334.827899407	236.883099013	259.9985335	238.95061677	329.421221043	209.213783867	210.672715703	242.244715167	237.6687216
Myd88	myeloid differentiation primary response gene 88	318.9	234.7	282.3	219.3	253.8	272.6	223.0	256.9	242.5	188.9	347.4	331.4	235.3	300.7	211.0	261.7	367.0	230.2	309.7	301.2	290.2	349.8	175.1	213.1946446	219.8997407	268.1080186	367.5844801	388.051169	253.0203488	281.2087637	231.7929145	234.3950182	256.7202475
Zfp60	zinc finger protein 60	34.5	10.2	41.8	44.8	9.4	14.5	36.9	42.6	27.6	28.5	40.5	15.5	1.5	32.9	21.0	41.5	44.5	43.4	21.9	9.7	9.8	43.6	58.0	6.978137372	34.45108812	56.8871017	14.69850816	50.20513896	6.625104343	11.49227399	40.45371333	10.11547351	62.51337638
Hmx1	H6 homeo box 1	10.2	12.1	14.8	20.8	17.6	11.7	14.3	27.2	12.7	8.8	15.4	7.2	9.1	14.1	7.5	13.5	14.6	12.5	13.7	17.0	26.9	22.3	11.5	14.13884962	8.284902797	11.69400327	13.15234635	15.52388081	11.77800891	16.74722561	16.19572867	15.85588938	18.96197307
Ntf3	neurotrophin 3	21.5	19.7	38.6	61.9	44.6	19.2	17.9	14.5	29.7	24.9	28.2	54.2	20.3	49.0	21.4	33.6	55.3	17.2	56.7	22.5	74.0	24.6	17.6	67.50400948	46.22052443	36.95290593	7.55668664	14.43707777	25.53618926	13.01938228	24.68125709	42.2601362	23.38892956
Cxcl5	chemokine (C-X-C motif) ligand 5	42.4	68.1	62.2	39.4	28.3	26.1	57.9	7.6	31.0	36.7	11.2	9.1	36.3	10.4	10.2	52.7	11.8	43.7	3.9	54.5	46.2	61.7	40.8	16.15907107	24.41877624	26.53424284	32.19200796	10.72446437	39.02925569	60.23027303	6.621301008	7.199213247	47.55740309
Epb4.2	erythrocyte protein band 4.2	44.1	22.55	21.25	37.35	24.7	16.35	18.7	19.2	17.55	17.25	20.45	63.5	14.85	26.5	13.9	20.3	20.65	23.0	25.5	26.45	29.75	20.9	135.8	25.1480941165	9.598801263	17.9516614225	24.486409175	30.2438170715	13.0819449925	27.88110254	20.3518390295	36.58287625	32.647650545
C80008	expressed sequence C80008	12.3	6.4	31.8	10.6	36.9	57.5	7.1	10.2	3.7	11.3	7.4	30.5	8.7	5.3	11.4	5.8	41.5	8.9	3.2	13.4	55.2	64.1	12.1	18.41106042	9.670350117	7.392135004	7.511382594	30.12246821	6.002404352	23.60079341	11.71913512	19.53936422	9.606050375
St7	Suppression of tumorigenicity 7	105.0	127.9	131.4	140.4	127.1	122.6	136.4	118.8	139.9	144.3	147.1	166.3	153.9	134.0	125.2	105.6	170.9	137.1	138.9	115.4	138.3	123.4	85.7	187.2634779	219.2455455	241.557975	142.0196215	77.12645126	231.3120491	129.1741109	138.4101041	191.4766155	37.16570564
Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	17.2	81.8	14.8	64.2	22.4	49.6	32.9	73.0	31.3	17.6	82.4	13.0	11.5	32.4	13.8	52.9	16.7	20.8	21.6	16.1	58.6	86.7	26.0	38.9064263435	31.9677408665	43.007516751	46.702775725	23.4152799175	32.8384209455	14.9170412965	19.88309651	44.494418259	65.47736436
C78878	expressed sequence C78878	6.1	3.7	2.4	4.3	5.3	2.1	15.4	3.0	1.7	2.4	4.3	5.4	1.7	1.7	4.1	2.3	11.0	4.8	3.5	3.9	11.8	7.6	31.9	1.702850757	3.591156211	4.358111711	5.293108769	1.473992165	4.664145953	7.829282588	11.24428937	63.16417274	29.93880968
Cryba1	crystallin, beta A1	17.0	17.0	13.0	27.1	13.8	13.1	13.9	17.8	9.7	16.8	19.3	39.2	15.1	10.1	26.0	13.8	14.8	18.6	11.2	5.5	16.9	13.0	21.2	29.50798532	7.34488697	24.66726781	11.30985662	9.320465388	11.73148005	30.82151999	10.20752302	6.848747219	15.35965392
P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	326.9	349.9	381.2	573.4	521.8	459.4	342.2	324.0	322.7	320.0	579.4	364.8	327.8	427.8	308.2	304.9	447.3	310.6	372.2	380.2	552.3	364.6	494.1	312.5936954	223.4668144	324.8840219	337.1672909	397.629174	251.9547226	399.5236771	318.8169373	421.3970554	526.5121691
Mrpl12	mitochondrial ribosomal protein L12	1070.4	1157.4	1151.2	1100.9	1110.7	1117.0	1108.6	1262.8	1315.6	1492.2	1428.0	1944.2	937.4	1310.4	1262.3	1075.4	1249.1	1188.1	1248.5	1260.6	1628.8	1386.9	1391.5	852.4336615	870.2179958	1054.951668	718.7521381	827.3530733	2615.373506	1828.146442	1715.782035	1694.691467	1918.502206
Psmd5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	311.3	484.7	400.5	345.6	540.1	528.1	462.4	486.1	480.7	575.7	436.2	539.6	890.7	436.9	438.9	689.3	522.1	468.6	353.0	505.7	657.1	412.8	407.7	589.0716467	445.8751685	607.7199552	605.5700775	562.5996641	397.8923481	488.0741398	569.4492365	501.8779214	547.2988044
Pthlh	parathyroid hormone-like peptide	35.5	63.9	122.1	96.8	176.0	149.0	98.6	83.0	36.1	53.3	60.2	168.6	58.9	102.7	99.6	51.8	145.4	136.2	113.3	172.4	97.2	97.0	115.4	105.47805352	149.7982195	127.5226962	76.03305092	37.813114875	102.44040307	43.96900219	120.5750824	68.86685897	103.4557084
