		GSM17378	GSM17379	GSM17380	GSM17381	GSM17382	GSM17383	GSM17384	GSM17385	GSM17386	GSM17387	GSM17388	GSM17389	GSM17390	GSM17391	GSM17392	GSM45690	GSM45691	GSM45692	GSM45693	GSM45706	GSM45707	GSM45708	GSM45709	GSM146345	GSM146346	GSM146347	GSM146348	GSM146349	GSM146350	GSM146351	GSM146352	GSM146353	GSM146354
Tiam1	T-cell lymphoma invasion and metastasis 1	60.3	89.75	123.15	169.5	127.7	116.5	97.3	85.8	101.1	191.3	155.35	133.65	66.6	185.3	135.15	88.35	98.85	106.25	167.8	65.75	196.05	102.5	136.9	170.43114	233.56688	247.3746	46.663025	112.70803	71.8967	73.71692	61.19108	121.76683	121.09646
Uqcrh	ubiquinol-cytochrome c reductase hinge protein	4030.4	3691.2	3557.7	3537.7	3787.9	3677.4	3516.5	4223.3	4283.3	4528.3	4225.6	5462.3	6327.1	4256.4	4046.5	4251.6	3646.2	4047.4	3909.5	4809.0	5103.3	4651.8	5477.0	3241.1204	3650.5596	3462.078	3302.5693	3446.045	6815.9927	4763.792	5190.224	5063.5483	4655.3735
Fgf8	fibroblast growth factor 8	3.9	4.9	6.3	6.3	3.7	5.1	4.0	6.3	4.7	5.4	10.0	11.2	5.2	5.1	5.4	4.2	6.1	7.0	6.6	3.8	7.8	8.1	7.5	10.267987	3.1833773	4.243766	10.789431	10.693359	4.0208235	11.790059	45.61722	4.194747	15.328858
Rmi1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	76.3	69.7	54.5	54.7	84.9	55.2	74.2	80.4	54.0	74.4	51.7	72.5	99.5	50.2	68.4	77.6	70.0	83.1	81.7	43.1	96.1	72.9	88.0	98.617165	67.93975	60.046524	101.24399	72.84649	61.703083	69.56181	97.28554	64.66251	70.87435
Col10a1	procollagen, type X, alpha 1	35.7	52.0	107.1	77.1	72.6	77.7	35.9	60.7	33.5	79.7	62.9	44.7	35.6	94.5	57.2	67.2	89.0	28.2	100.8	92.3	131.8	38.1	85.4	35.765125	83.015	86.37941	42.219204	115.1759	26.566568	19.916492	150.98062	21.001772	38.671474
Serpina5	serine (or cysteine) peptidase inhibitor, clade A, member 5	16.0	18.25	48.65	23.9	37.35	44.05	49.1	40.0	18.75	15.15	38.7	48.55	22.25	40.75	13.5	19.7	30.0	12.7	62.65	52.85	60.0	43.2	22.75	9.021299	10.723139	11.467712	8.227319	12.179578	9.150606	7.924726	15.588642	64.07581	132.2182
Cebpd	CCAAT/enhancer binding protein (C/EBP), delta	322.4	321.0	606.7	343.1	297.3	430.4	404.0	494.2	418.4	336.7	341.8	833.9	433.5	354.1	267.1	366.1	302.0	319.5	272.0	319.2	289.6	429.2	406.8	301.16364	381.49026	314.0165	942.5521	1647.518	339.6198	244.05002	479.66196	395.95786	595.5077
Arg2	arginase type II	10.05	60.1	46.65	51.55	36.95	38.7	27.05	47.15	106.65	13.05	68.8	14.15	23.05	26.4	45.95	19.05	81.15	34.5	49.65	19.95	29.95	14.1	24.25	27.682724	34.028915	25.283682	63.328503	41.526787	41.439713	24.128979	31.004213	46.503902	34.448967
Ascl1	achaete-scute complex homolog-like 1 (Drosophila)	30.0	80.3	59.7	109.2	46.8	120.9	69.8	34.5	100.8	31.9	51.6	38.5	28.0	67.3	65.4	26.0	97.7	120.7	18.2	40.9	38.3	28.1	37.6	16.961048	6.5438814	16.172405	77.724205	89.447845	46.53969	41.31408	60.857	33.475872	102.50734
5730453I16Rik	RIKEN cDNA 5730453I16 gene	585.3	692.4	692.0	725.9	832.5	791.7	580.1	712.2	913.2	743.9	628.8	653.6	635.8	608.0	724.8	761.4	784.2	563.9	617.3	813.0	605.8	972.3	530.0	657.40906	668.8765	610.7045	669.9209	820.44434	713.2976	600.6772	674.5421	515.18744	580.58136
Art2a	ADP-ribosyltransferase 2a	1.0	11.4	7.0	2.7	3.6	17.8	31.4	3.3	3.8	1.3	5.1	5.5	4.2	22.9	2.3	4.1	5.3	2.1	2.7	4.1	1.2	1.8	4.4	11.779863	9.059949	11.384941	12.476783	10.015255	9.869862	10.441008	9.807866	12.421861	67.39089
Tcfap2c	transcription factor AP-2, gamma	46.5	39.3	54.2	58.7	53.1	53.0	35.6	51.0	41.0	48.9	129.1	40.1	29.6	41.7	39.5	41.7	45.2	42.6	131.5	50.2	45.8	82.8	48.5	55.51929	51.87183	53.299976	52.767796	50.552113	48.207615	49.888165	53.995842	73.76716	84.43409
Tcfap2b	transcription factor AP-2 beta	40.2	28.7	55.6	59.6	22.7	13.8	7.6	13.0	32.4	13.1	56.0	18.3	13.0	52.1	14.2	48.8	53.0	42.8	18.0	23.5	72.6	17.1	43.4	52.37678	74.823364	64.10602	73.49404	13.388131	31.034369	101.03614	17.577366	10.150027	15.161812
Tyro3	TYRO3 protein tyrosine kinase 3	35.1	74.9	66.75	24.9	38.3	31.95	33.6	27.75	26.05	26.55	59.55	82.95	51.0	65.8	27.1	47.95	53.25	33.4	34.6	69.25	56.05	67.4	37.15	43.4136	34.074806	40.095184	32.85768	43.39777	42.086216	26.448061	79.12746	73.16642	68.47105
Pck2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	76.15	22.0	67.8	70.95	18.1	65.75	19.25	114.95	65.2	49.8	72.5	78.6	56.9	24.15	55.7	88.95	23.4	32.2	36.1	97.95	79.35	65.25	129.6	40.928196	50.224426	47.949673	24.73689	43.813816	54.071983	36.401943	69.23801	51.892754	84.755646
Prlpk	prolactin-like protein K	6.8	12.2	16.5	24.4	12.9	14.3	3.9	5.1	6.5	5.8	10.4	7.7	8.3	15.9	3.2	9.8	5.5	7.9	8.1	15.6	10.8	2.9	9.8	29.187838	8.829608	8.953394	12.824449	8.082578	11.746602	18.892324	32.216812	6.721907	11.573082
Rbm8a	RNA binding motif protein 8a	404.2	412.6	498.4	536.3	372.1	529.1	466.7	514.4	450.2	451.7	611.5	631.3	577.3	531.1	486.9	551.9	457.9	435.1	528.2	484.4	519.6	567.6	512.2	518.42834	407.26376	422.2274	436.65262	453.5004	682.55817	615.66455	557.26025	602.1467	565.3685
2410015N17Rik	RIKEN cDNA 2410015N17 gene	1009.3	851.0	834.3	914.2	890.4	1016.75	812.3	987.25	936.1	944.05	1012.15	1756.4	766.6	1103.05	998.5	790.0	919.75	897.55	810.55	1171.4	1098.25	1088.85	1179.05	895.56866	860.58984	901.07825	799.0051	988.0387	1156.9749	969.5357	937.6507	944.6403	933.66724
Slc22a4	solute carrier family 22 (organic cation transporter), member 4	16.3	7.5	5.6	18.3	13.8	6.7	6.1	13.4	8.0	13.4	26.3	9.5	47.5	10.4	13.1	11.1	9.5	15.8	13.0	12.9	16.9	7.9	16.9	32.35337	11.966986	13.767118	16.946888	15.29661	16.911861	10.496691	13.163794	11.032421	23.665579
Pes1	pescadillo homolog 1, containing BRCT domain (zebrafish)	169.9	132.8	127.2	149.0	110.4	171.5	153.3	147.6	163.2	173.4	123.3	213.2	110.6	176.4	196.9	119.6	138.1	176.6	191.9	163.3	218.0	177.9	188.0	150.84421	145.63023	160.03955	138.88669	151.10605	206.23158	157.85756	195.55843	231.35013	205.70619
Ifnar1	interferon (alpha and beta) receptor 1	262.8	165.9	230.6	251.2	250.6	270.0	208.4	262.8	241.7	247.7	295.7	265.7	206.7	235.1	258.1	346.5	302.7	328.0	151.0	255.3	363.3	319.6	127.7	281.96716	225.30661	250.62033	278.6659	241.15688	225.96048	260.93826	277.0295	282.15903	221.36327
Slc22a2	solute carrier family 22 (organic cation transporter), member 2	162.4	189.7	210.6	152.6	189.3	109.0	149.7	150.3	150.6	145.7	135.6	106.1	213.1	161.7	136.3	218.5	201.5	232.0	77.1	175.8	187.2	185.0	149.5	199.68468	177.32701	141.36954	37.14291	76.30623	142.79056	136.97957	189.63995	154.40039	225.81268
Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	1333.35	1292.7	1130.8	1252.85	1538.4	1334.4	1214.05	1384.1	1352.75	1232.6	1313.8	1313.05	662.7	1136.3	1252.85	1184.25	1206.25	1095.55	1228.15	1359.0	1307.0	1256.05	1238.6	1498.468	1062.2798	1401.6292	1460.0737	1253.3193	1105.6746	1202.062	1095.4194	1154.2931	1067.4196
Colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	133.3	66.8	69.0	121.7	58.8	50.6	130.7	62.8	61.5	67.4	57.4	321.1	134.4	37.5	66.6	169.5	68.4	66.3	71.2	83.2	86.5	138.4	61.2	181.13779	70.10659	124.109825	32.851402	186.9463	105.34561	95.87945	187.40575	131.68109	180.67175
Igj	immunoglobulin joining chain	107.8	169.4	116.5	117.3	96.8	90.6	135.9	74.2	204.9	90.2	101.5	70.5	135.8	135.2	128.4	114.3	134.1	370.0	152.7	181.6	137.2	116.8	57.8	213.4592	670.14484	170.38655	175.62259	1066.63	95.12475	154.75066	95.20571	118.9625	85.30378
Dnajb3	DnaJ (Hsp40) homolog, subfamily B, member 3	66.35	61.1	68.15	87.15	140.7	85.65	75.15	52.95	109.15	91.4	73.75	63.35	47.2	96.35	64.8	69.7	84.65	48.95	71.5	110.9	84.5	78.4	44.6	81.51456	55.50265	46.38088	162.77408	31.351746	110.18786	61.312016	63.51564	47.744286	66.109955
Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4	62.8	66.1	69.4	67.6	85.8	108.5	59.6	55.5	55.3	135.2	69.3	64.6	83.6	126.0	74.1	63.6	79.3	58.6	68.2	154.7	52.6	35.2	72.9	76.18423	58.32618	59.819023	85.587326	104.06884	72.61679	138.3706	92.516846	85.13379	95.568756
Zfy2	zinc finger protein 2, Y linked	6.9	7.5	32.8	41.5	8.7	10.0	16.5	7.9	7.8	15.6	1.7	22.7	1.9	41.7	3.7	5.7	27.4	30.1	14.3	11.1	18.6	49.2	11.9	7.690318	18.961275	10.093424	14.73932	40.893776	2.6797087	67.54099	5.8258605	29.609278	17.85397
Jarid1a	jumonji, AT rich interactive domain 1A (Rbp2 like)	9.5	21.1	5.8	10.4	10.7	40.4	29.1	35.8	17.7	30.3	19.9	12.0	5.8	14.6	21.5	14.7	6.6	37.0	7.7	37.3	13.1	14.0	23.2	8.071341	5.909599	15.155409	5.21279	6.0455127	14.900105	41.03213	6.000247	13.825569	17.921103
Adcy3	adenylate cyclase 3	207.1	346.0	91.4	198.6	212.9	237.8	166.2	323.1	271.0	289.2	245.6	264.0	145.3	187.0	202.1	224.6	164.0	396.6	221.1	239.0	210.4	334.3	255.2	285.89526	152.8231	170.57141	282.1595	230.59525	228.141	206.44905	204.34444	194.53601	227.86726
Cep250	centrosomal protein 250	39.0	49.2	45.6	149.7	67.3	47.9	43.3	41.0	44.2	42.0	146.7	50.1	46.6	51.4	41.3	52.7	51.1	119.6	45.4	61.3	63.3	33.9	48.2	93.54623	76.783615	78.26129	69.45194	25.162874	71.02233	60.66745	61.237717	59.24889	21.15899
Lag3	lymphocyte-activation gene 3	165.5	65.1	149.4	107.6	117.6	61.3	178.2	102.5	133.5	44.4	34.5	114.2	88.2	89.2	61.7	142.2	137.3	174.9	121.9	44.8	33.4	133.0	145.7	40.27297	60.769535	32.479324	146.29855	47.723427	100.10369	71.66323	39.80522	93.58039	121.7262
Klk1	kallikrein 1///kallikrein 1-related petidase b26///kallikrein 1-related peptidase b5	30.333334	22.766666	26.133333	25.666666	31.3	18.733334	13.233334	18.733334	81.3	28.833334	25.0	30.566668	23.866667	40.7	37.4	12.733334	19.766666	40.766666	33.166668	39.066666	42.066666	25.733334	27.533333	22.229027	14.926336	23.09197	29.826912	19.934774	68.229416	36.932632	29.417532	57.139107	18.386215
Col13a1	procollagen, type XIII, alpha 1	81.3	116.0	115.65	135.65	75.05	105.6	92.5	96.6	118.8	108.4	116.95	125.25	129.25	129.15	127.45	110.5	100.7	101.85	74.8	115.8	107.55	137.15	177.15	163.42906	118.35232	104.08699	124.49913	133.68672	64.04293	85.96657	101.0408	89.43044	101.32206
Pcyt1a	phosphate cytidylyltransferase 1, choline, alpha isoform	550.7	651.35	606.75	574.65	661.8	621.55	690.2	638.15	650.15	681.2	520.15	557.25	562.4	619.15	629.9	625.05	614.15	689.05	726.55	541.9	557.1	628.65	515.7	470.39008	548.0252	561.0462	518.6049	519.1318	527.9849	825.478	845.3142	755.89667	708.30725
Slc7a9	solute carrier family 7 (cationic amino acid transporter, y+ system), member 9	100.4	179.2	80.9	40.6	114.6	158.0	21.3	122.7	220.2	129.9	159.5	40.6	211.1	199.5	89.5	123.8	205.8	145.3	27.9	174.5	162.1	46.8	96.7	203.15984	125.95037	120.64467	166.68958	133.15768	116.89932	93.53723	143.34598	204.98236	188.62747
Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)	175.5	170.9	141.7	246.9	165.5	66.8	133.5	84.2	74.1	199.5	107.9	28.9	104.6	229.6	173.6	134.7	177.5	187.7	186.4	164.1	172.6	135.6	168.0	179.23462	106.271706	144.5555	120.45979	130.43716	157.00964	164.01384	128.48041	152.29175	243.61423
Zfp787	zinc finger protein 787	147.26666	237.16667	327.33334	235.8	252.46666	202.46666	201.76666	134.26666	232.43333	215.3	253.33333	256.63333	118.53333	221.2	247.6	141.7	184.56667	243.03334	212.23334	214.66667	223.66667	255.5	266.7	184.23578	134.41045	131.8385	308.9414	185.52956	195.6342	230.90894	278.12833	242.12292	248.35504
Alox15	arachidonate 15-lipoxygenase	23.6	107.8	31.4	24.5	21.2	74.3	15.5	17.2	18.2	26.1	52.4	16.7	20.1	18.5	63.4	10.9	26.7	16.9	16.0	14.1	20.0	10.9	15.7	31.110584	47.790134	11.3410425	31.07226	37.745735	30.600933	32.348694	46.66939	38.758053	179.9836
Inhbe	inhibin beta E	106.2	158.6	216.6	88.5	220.9	188.9	231.4	266.2	349.5	193.3	273.9	48.2	210.3	154.6	262.8	353.0	264.6	268.9	263.9	114.2	94.4	267.5	104.3	157.72754	159.20363	143.53488	162.36462	253.2437	136.9443	206.35149	220.44084	192.15425	218.27124
Asprv1	aspartic peptidase, retroviral-like 1	158.9	244.3	68.6	94.9	221.6	247.7	203.5	257.3	259.1	205.9	186.5	283.8	418.6	119.5	240.3	172.9	280.8	668.8	152.2	301.3	220.0	138.4	226.4	259.74026	844.3467	601.819	261.43063	193.97649	163.35786	100.18097	190.0865	217.83206	314.68222
1810007M14Rik	RIKEN cDNA 1810007M14 gene	240.8	210.2	204.5	229.7	213.1	235.1	241.7	252.6	257.2	236.5	295.5	322.0	407.9	226.7	280.5	200.1	201.4	181.5	214.2	230.2	220.6	303.1	306.0	228.71356	334.8279	236.8831	259.99854	238.95062	329.42123	209.21379	210.67271	242.24472	237.66872
Myd88	myeloid differentiation primary response gene 88	318.9	234.7	282.3	219.3	253.8	272.6	223.0	256.9	242.5	188.9	347.4	331.4	235.3	300.7	211.0	261.7	367.0	230.2	309.7	301.2	290.2	349.8	175.1	213.19464	219.89973	268.10803	367.58447	388.05118	253.02036	281.20877	231.79291	234.39502	256.72025
Zfp60	zinc finger protein 60	34.5	10.2	41.8	44.8	9.4	14.5	36.9	42.6	27.6	28.5	40.5	15.5	1.5	32.9	21.0	41.5	44.5	43.4	21.9	9.7	9.8	43.6	58.0	6.9781375	34.451088	56.8871	14.698508	50.20514	6.6251044	11.492274	40.453712	10.115474	62.51338
Hmx1	H6 homeo box 1	10.2	12.1	14.8	20.8	17.6	11.7	14.3	27.2	12.7	8.8	15.4	7.2	9.1	14.1	7.5	13.5	14.6	12.5	13.7	17.0	26.9	22.3	11.5	14.138849	8.284903	11.694003	13.152347	15.523881	11.778008	16.747225	16.195728	15.855889	18.961973
Ntf3	neurotrophin 3	21.5	19.7	38.6	61.9	44.6	19.2	17.9	14.5	29.7	24.9	28.2	54.2	20.3	49.0	21.4	33.6	55.3	17.2	56.7	22.5	74.0	24.6	17.6	67.50401	46.220524	36.952908	7.556687	14.4370775	25.53619	13.019382	24.681257	42.260136	23.38893
Cxcl5	chemokine (C-X-C motif) ligand 5	42.4	68.1	62.2	39.4	28.3	26.1	57.9	7.6	31.0	36.7	11.2	9.1	36.3	10.4	10.2	52.7	11.8	43.7	3.9	54.5	46.2	61.7	40.8	16.159071	24.418776	26.534243	32.19201	10.724464	39.029255	60.230274	6.621301	7.199213	47.557404
Epb4.2	erythrocyte protein band 4.2	44.1	22.55	21.25	37.35	24.7	16.35	18.7	19.2	17.55	17.25	20.45	63.5	14.85	26.5	13.9	20.3	20.65	23.0	25.5	26.45	29.75	20.9	135.8	25.148094	9.598802	17.951662	24.486408	30.243816	13.081945	27.881102	20.35184	36.58288	32.64765
C80008	expressed sequence C80008	12.3	6.4	31.8	10.6	36.9	57.5	7.1	10.2	3.7	11.3	7.4	30.5	8.7	5.3	11.4	5.8	41.5	8.9	3.2	13.4	55.2	64.1	12.1	18.41106	9.67035	7.392135	7.5113826	30.122469	6.002404	23.600794	11.719135	19.539364	9.6060505
St7	Suppression of tumorigenicity 7	105.0	127.9	131.4	140.4	127.1	122.6	136.4	118.8	139.9	144.3	147.1	166.3	153.9	134.0	125.2	105.6	170.9	137.1	138.9	115.4	138.3	123.4	85.7	187.26347	219.24554	241.55797	142.01962	77.12645	231.31204	129.17412	138.41011	191.47661	37.165707
Runx1t1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	17.2	81.8	14.8	64.2	22.4	49.6	32.9	73.0	31.3	17.6	82.4	13.0	11.5	32.4	13.8	52.9	16.7	20.8	21.6	16.1	58.6	86.7	26.0	38.906425	31.967741	43.007515	46.702774	23.41528	32.83842	14.917041	19.883097	44.49442	65.47736
C78878	expressed sequence C78878	6.1	3.7	2.4	4.3	5.3	2.1	15.4	3.0	1.7	2.4	4.3	5.4	1.7	1.7	4.1	2.3	11.0	4.8	3.5	3.9	11.8	7.6	31.9	1.7028507	3.5911562	4.358112	5.293109	1.4739921	4.664146	7.8292828	11.244289	63.164173	29.93881
Cryba1	crystallin, beta A1	17.0	17.0	13.0	27.1	13.8	13.1	13.9	17.8	9.7	16.8	19.3	39.2	15.1	10.1	26.0	13.8	14.8	18.6	11.2	5.5	16.9	13.0	21.2	29.507986	7.344887	24.667269	11.309856	9.320465	11.73148	30.82152	10.207523	6.8487473	15.359653
P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	326.9	349.9	381.2	573.4	521.8	459.4	342.2	324.0	322.7	320.0	579.4	364.8	327.8	427.8	308.2	304.9	447.3	310.6	372.2	380.2	552.3	364.6	494.1	312.5937	223.46681	324.88403	337.1673	397.62918	251.95473	399.52368	318.81693	421.39706	526.51215
Mrpl12	mitochondrial ribosomal protein L12	1070.4	1157.4	1151.2	1100.9	1110.7	1117.0	1108.6	1262.8	1315.6	1492.2	1428.0	1944.2	937.4	1310.4	1262.3	1075.4	1249.1	1188.1	1248.5	1260.6	1628.8	1386.9	1391.5	852.43365	870.218	1054.9517	718.75214	827.3531	2615.3735	1828.1465	1715.782	1694.6914	1918.5022
Psmd5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	311.3	484.7	400.5	345.6	540.1	528.1	462.4	486.1	480.7	575.7	436.2	539.6	890.7	436.9	438.9	689.3	522.1	468.6	353.0	505.7	657.1	412.8	407.7	589.07166	445.87518	607.72	605.57007	562.5997	397.89233	488.07413	569.4492	501.87793	547.2988
Pthlh	parathyroid hormone-like peptide	35.5	63.9	122.1	96.8	176.0	149.0	98.6	83.0	36.1	53.3	60.2	168.6	58.9	102.7	99.6	51.8	145.4	136.2	113.3	172.4	97.2	97.0	115.4	105.47805	149.79822	127.5227	76.03305	37.813114	102.44041	43.969	120.57508	68.86686	103.45571
Rgs7	regulator of G protein signaling 7	55.9	15.1	33.4	61.2	78.3	58.7	9.0	9.5	36.2	17.3	38.4	69.8	18.8	93.1	15.5	43.2	48.5	15.1	65.7	62.0	53.1	21.4	16.1	106.64919	56.200306	13.650155	14.276695	19.679491	86.42944	23.018246	37.230946	41.186172	104.42547
Stac	src homology three (SH3) and cysteine rich domain	41.55	45.85	47.3	50.8	65.8	21.65	46.3	32.5	64.9	35.9	75.35	67.8	39.5	51.35	42.4	48.6	56.25	33.75	56.4	39.65	76.35	53.8	91.0	87.75951	95.86433	45.915367	68.67339	23.211037	26.503767	23.623428	44.787907	142.4065	59.384663
C78549	expressed sequence C78549	73.2	55.1	64.0	24.0	68.1	42.4	71.5	63.5	105.5	26.5	46.7	96.8	12.0	87.0	46.7	125.2	28.4	78.0	138.6	36.1	70.0	67.2	27.9	105.133	31.683327	39.80214	37.038597	49.170307	71.17516	178.06003	183.30188	40.89785	50.498196
Il7r	interleukin 7 receptor	48.5	69.6	54.5	59.1	95.8	71.4	73.1	37.9	70.5	49.2	64.7	88.5	53.5	75.8	50.8	52.0	60.9	76.2	90.1	71.6	39.1	34.3	74.6	82.73471	51.321445	48.53135	79.3411	61.69097	71.789444	80.08584	27.12977	99.34987	98.91694
Tnfsf11	tumor necrosis factor (ligand) superfamily, member 11	27.9	34.3	50.4	26.3	31.2	28.4	28.1	42.0	46.7	5.9	37.3	45.4	8.2	37.1	33.0	33.4	12.6	26.0	21.8	65.4	34.4	33.6	71.5	35.951862	18.347363	14.231007	55.168674	20.898369	9.442616	46.402985	56.649857	31.469774	53.297108
Fjx1	four jointed box 1 (Drosophila)	19.3	29.8	20.6	30.3	17.6	21.0	13.9	21.9	18.9	89.8	27.9	17.7	25.3	24.8	29.4	19.3	59.4	13.4	22.4	33.3	24.7	22.3	89.8	18.856184	26.280867	46.490585	25.00662	25.44608	16.293436	21.327358	17.509138	29.067135	26.37488
